Tom's here.	Tom er her.
Tom didn't want to talk about that.	Tom ønskede ikke at tale om det.
They believed it might lead to war with Britain.	De troede det kunne føre til krig med Storbritannien.
I called security.	Jeg har tilkaldt sikkerhedsfolkene.
You know what, Tom, you're right.	Ved du hvad, Tom, du har ret!
I finally found the solution to the problem.	Endelig fandt jeg løsningen på problemet.
I haven't seen her since then.	Jeg har ikke set hende siden dengang.
I often see him taking a walk in this neighborhood.	Jeg ser ham ofte gå en tur i dette område.
Tom was flabbergasted when he heard the news.	Tom blev paf da han hørte nyheden.
What did you say to Tom?	Hvad har du sagt til Tom?
Yours was better.	Din var bedre.
It's not something I'm proud of.	Det er ikke noget jeg er stolt af.
How old is your uncle?	Hvor gammel er din onkel?
I saw her clean the room.	Jeg så hende gøre værelset rent.
This garden is open to the public and it's free.	Denne have er åben for publikum, og det er gratis.
I can't swim at all.	Jeg kan overhovedet ikke svømme.
The old barn collapsed.	Den gamle stald faldt sammen.
Tom's apartment is way too big for just one person.	Toms lejlighed er alt for stor til kun én person.
He can neither read nor write.	Han kan hverken læse eller skrive.
How old is your uncle?	Hvor gammel er jeres onkel?
What time will you get to the station?	Hvornår vil du være på stationen?
Tom's cellphone is ringing.	Toms mobil ringer.
He has a perfect body.	Han har en perfekt krop.
Tom's parents have a lot of money.	Toms forældre har en masse penge.
My middle name isn't Tom.	Mit mellemnavn er ikke Tom.
Tom is wrong.	Tom tager fejl.
Tom must've been there a couple of hours.	Tom må have været der et par timer.
I don't like this paper. It's too shiny.	Jeg kan ikke lide dette papir. Det er for skinnende.
Tom won't tell you what happened.	Tom vil ikke fortælle dig, hvad der skete.
I tossed and turned all night.	Jeg lå uroligt hele natten.
Where's your mother?	Hvor er din mor?
Today is Monday.	I dag er det mandag.
Do you need money?	Har du brug for penge?
Tom rang the doorbell a couple of times.	Tom ringede på dørklokken et par gange.
It was a nightmare.	Det var et mareridt.
Tom is Mary's son.	Tom er Marys søn.
It was a beautiful sunny day.	Det var en smuk solskinsdag.
Tom took Mary's empty glass from her hand and refilled it.	Tom tog Marys tomme glas ud af hendes hånd og fyldte det op igen.
Recently the demand for this product has increased faster than the supply.	I den seneste tid er efterspørgslen efter dette produkt steget hurtigere end udbuddet.
I told him, once for all, that I would not marry him.	Jeg har fortalt ham, en gang for alle, at jeg ikke ville gifte mig med ham.
Pardon my French.	Undskyld jeg bander.
They are Christians.	De er kristne.
What's going on?	Hvad sker der?
I bought a large pair of sunglasses.	Jeg har købt mig et par store solbriller.
Tom objected to being treated like a child.	Tom brød sig ikke om at blive behandlet som et barn.
Do you remember the name of your first French teacher?	Husker du navnet på din første fransklærer?
The painter died young.	Maleren døde ung.
Tom isn't Mary's friend.	Tom er ikke Marys ven.
Have you heard about Tom?	Har De hørt om Tom?
How often do you go to the beach?	Hvor tit tager du til stranden?
Nothing seemed to work.	Intet syntes at fungere.
That's impossible.	Det er umuligt.
I think you're too drunk to drive.	Jeg tror ​​du er for fuld til at køre.
Lake Baikal in Russia is the deepest lake in the world.	Bajkalsøen i Rusland er verdens dybeste sø.
Dilma Rousseff is the current President of Brazil.	Dilma Rousseff er Brasiliens nuværende præsident.
Actions speak louder than words.	Handling tæller mere end ord.
He tried solving the problem.	Han forsøgte at løse problemet.
I bought two pairs of pants.	Jeg købte to par bukser.
Let me see that list.	Lad mig se den liste.
What did she say?	Hvad sagde hun?
Silver doesn't cost as much as gold.	Sølv koster ikke så meget som guld.
These are marshmallows.	De her er skumfiduser.
They want more.	De vil have mere.
I'll meet you at my office.	Vi mødes på mit kontor.
It made me really sad.	Det gjorde mig virkelig ked af det.
This is your hat, isn't it?	Det er din hat, er det ikke?
I'll try to get a little sleep.	Jeg vil prøve at få lidt søvn.
I just got a good idea.	Jeg har lige fået en god ide.
I've always understood you.	Jeg har altid forstået dig.
Tom bought a hybrid car.	Tom har købt en hybridbil.
There's nowhere on earth that I'd rather be.	Der findes ingen steder på Jorden hvor jeg hellere ville være.
It's basically the same thing.	Det er dybest set det samme.
The waves are high.	Bølgerne er høje.
You're not young anymore.	Du er ikke længere ung.
Is Tom there, too?	Er Tom der også?
Tom said he didn't think that Mary wanted to be on the basketball team.	Tom sagde at han ikke troede at Mary ønskede at være på basketballholdet.
I bought a red car.	Jeg har købt en rød bil.
Everyone was happy.	Alle var lykkelige.
She is dear to me.	Hun er mig kær.
It's a pipe dream.	Det er et luftkastel.
We don't have a car.	Vi har ingen bil.
It wasn't easy to find Tom's house.	Det var ikke nemt at finde Toms hus.
Tom is most likely at home.	Tom er højst sandsynligt hjemme.
I'm here to save you.	Jeg er her for at redde dig.
Fantastic!	Fantastisk!
Where was everyone?	Hvor var alle?
I have a friend living in Boston.	Jeg har en ven der bor i Boston.
Mary asked me to pretend to be her boyfriend.	Mary bad mig om at foregive at være hendes kæreste.
You need to resign.	Du er nødt til at træde tilbage.
Do you miss me?	Savner du mig?
There's no speed limit.	Der er ingen hastighedsgrænse.
Tom hoisted the flag.	Tom hejsede flaget.
He's a DJ.	Han er dj.
She has married a nobody.	Hun har giftet sig med en ubetydelighed.
Who is the owner of this car?	Hvem er ejer af denne bil?
Did Tom find it?	Fandt Tom det?
Most Americans did not have the money to own an automobile.	De fleste amerikanere havde ikke penge nok til at have en bil.
Tom always gets up early.	Tom står altid tidligt op.
Guess who's coming for dinner tonight.	Gæt hvem der kommer til middag i aften!
I think you're all wrong.	Jeg tror du tager helt fejl.
I was totally dumbfounded.	Jeg var helt lamslået.
I need to replace my keyboard with a new one.	Jeg er nødt til at erstatte mit tastatur med et nyt.
Tom didn't drink that milk.	Tom har ikke drukket den mælk.
Tomorrow is Sunday.	I morgen er det søndag.
Tom doesn't have a dog.	Tom har ikke en hund.
I hope we have enough time.	Jeg håber vi har nok tid.
Tom gave the keys to Mary.	Tom gav nøglerne til Mary.
Tom has been eating too much pork.	Tom har spist for meget svinekød.
I must remember to mail the letter.	Jeg må huske at poste brevet.
The child was hiding behind a big tree.	Barnet gemte sig bag et stort træ.
My watch is accurate.	Mit ur er præcist.
What a relief!	Sikke en lettelse!
Something went wrong.	Noget er gået galt.
The market was flooded with foreign goods.	Markedet blev oversvømmet af udenlandske varer.
It depends on the context.	Det afhænger af konteksten.
This is a set expression.	Det er et fast udtryk.
I don't like what I see.	Jeg kan ikke lide hvad jeg ser.
Tom is dead drunk.	Tom er døddrukken.
The dog-eared pages made the book less valuable.	Siderne med æselører gjorde bogen mindre værdifuld.
Do you really want to walk?	Ønsker du virkelig at gå til fods?
I watch television in the evening.	Jeg ser fjernsyn om aftenen.
I like her novel.	Jeg synes om hendes roman.
What on earth are you doing here?	Hvad i alverden laver du her?
We need everything.	Vi har brug for alt.
Mother is cooking in the kitchen.	Mor er i gang med at lave mad i køkkenet.
I'll give Tom that.	Jeg vil give Tom det.
Tom and Mary got divorced, just like you predicted.	Tom og Mary er blevet skilt, helt ligesom du havde forudset.
Take what you want.	Tag hvad du ønsker.
An accident has just happened.	Der er lige sket en ulykke.
Show yourself.	Vis dig selv.
These apples are big.	Disse æbler er store.
The whereabouts of the suspect is still unknown.	Den mistænktes opholdssted er stadig ukendt.
I play soccer almost every day.	Jeg spiller fodbold næsten hver dag.
The cat chased the mouse, but couldn't catch it.	Katten jagede musen, men kunne ikke fange den.
I got mugged on my way home last night.	Jeg blev overfaldet på vej hjem i aftes.
Tom only listens to classical music.	Tom lytter kun til klassisk musik.
Look at the picture on the wall.	Kig på billedet på væggen.
Tom just called you a liar.	Tom har lige kaldt dig en løgner.
Tom asked Mary out on a date.	Tom inviterede Mary ud på en date.
I want to win.	Jeg ønsker at vinde.
I have a job to do.	Jeg har arbejde der skal gøres.
The cause of the fire was his cigarette butt.	Brandårsagen var hans cigaretskod.
Tom couldn't get his car to start.	Tom kunne ikke få sin bil til at starte.
Both Tom and Mary checked their own watches.	Både Tom og Mary tjekkede deres egne ure.
Tom said that he needed to go shopping.	Tom sagde at han skulle ud at handle ind.
It had been snowing for a week.	Det har sneet i en uge.
Tom told Mary that he'd go to Boston in October.	Tom fortalte Mary at han ville tage til Boston i oktober.
When I was 10 years old, I thought that when I would be 16, my life would be cool.	Da jeg var ti år gammel, tænkte jeg, at når jeg blev seksten, ville mit liv blive cool.
The genie is out of the bottle.	Trolden er ude af æsken.
This factory produces CD players.	Denne fabrik producerer cd-afspillere.
I don't know when, but it'll happen someday.	Jeg ved ikke hvornår, men det vil ske en dag.
Their trip was postponed because of the rain.	Deres tur blev udsat på grund af regnen.
Does he have a dog?	Har han en hund?
One of the apples fell to the ground.	En af æblerne faldt på jorden.
Tom is Mary's father-in-law.	Tom er Marys svigerfar.
One cannot survive without money.	Man kan ikke overleve uden penge.
We're waiting in the hotel lobby.	Vi venter i hotellets lobby.
Tom rarely goes out after dark.	Tom går sjældent ud efter mørkets frembrud.
I hope nobody saw me kissing Tom.	Jeg håber ingen så mig kysse Tom.
Why are you asking me all these questions?	Hvorfor stiller du mig alle disse spørgsmål?
We got on like a house on fire.	Vi kom fantastisk godt ud af det med hinanden.
I hope you're not alone.	Jeg håber at I ikke er alene.
What are you talking about?	Hvad taler du om?
I don't know if I still have it.	Jeg ved ikke om jeg endnu har den.
Where did you buy it?	Hvor købte du den?
I thought his name was Tom.	Jeg troede hans navn var Tom.
Your name is Tom, right?	Dit navn er Tom, ikke sandt?
That's my wife.	Det er min kone.
I wish I could speak French.	Jeg ville ønske jeg kunne tale fransk.
Tom, there's something I forgot to tell you.	Tom, der er noget, jeg glemte at fortælle dig.
His name is known to everyone in this town.	Hans navn er kendt af alle i denne by.
He has lived in Iceland for a long time.	Han har boet længe i Island.
The school Tom goes to is looking for a new French teacher.	Skolen som Tom går på, søger en ny fransklærer.
We have until tomorrow morning.	Vi har indtil i morgen tidlig.
I need a new USB cable for my cellphone.	Jeg har brug for et nyt USB-kabel til min mobiltelefon.
We're on speaking terms.	Vi er på talefod.
I'd love to spend Christmas with you.	Jeg ville elske at tilbringe julen med dig.
I remember the house where I grew up.	Jeg husker huset, som jeg er vokset op i.
No way!	Du kan tro nej!
If you come back by five, you may go.	Du må gå nu hvis du kommer tilbage klokken sytten.
I wish I could help you.	Jeg ville ønske jeg kunne hjælpe dig.
Is Father in the kitchen?	Er far i køkkenet?
Tom feeds his dog twice a day.	Tom fodrer sin hund to gange om dagen.
I'm going to miss you, Tom.	Jeg kommer til at savne dig, Tom.
I must've lost some weight.	Jeg må have tabt mig.
Tom remained stoic.	Tom forblev stoisk.
I can't dance.	Jeg kan ikke danse.
She has a cat and two dogs.	Hun har en kat og to hunde.
Many English words are derived from Latin.	Mange engelske ord stammer fra latin.
She woke up on her own.	Hun vågnede af sig selv.
They painted the wall white.	De malede muren hvid.
We offer low-cost prefabricated houses.	Vi tilbyder billige, præfabrikerede huse.
Tom whispered something to Mary and then left the room.	Tom hviskede noget til Mary, og forlod derefter rummet.
You can buy that dog if you want to. It is for sale.	Du kan købe den hund hvis du vil. Den er til salg.
Damacus is located in Syria.	Damaskus ligger i Syrien.
She sent the letter by airmail.	Hun sendte brevet med luftpost.
That toy is made of wood.	Legetøjet er lavet af træ.
It's important that you practice every day.	Det er vigtigt at du øver dig hver dag.
Have a nice day, Tom.	Hav en god dag, Tom!
Let's see if that does the trick.	Lad os se om det gør det.
I hid in the attic.	Jeg skjulte mig på loftet.
This is an elephant's tusk.	Det her er en elefants stødtand.
I don't want to know.	Jeg ønsker ikke at vide det.
This is free.	Det er gratis.
Do you listen to the radio at home every day?	Lytter du til radioen hjemme hver dag?
Short skirts are already out of fashion.	Korte nederdele er allerede gået af mode.
I can't explain it either.	Jeg kan heller ikke forklare det.
Tom's eating.	Tom sidder og spiser.
I'm hungry!	Jeg er sulten!
What do you make of him?	Hvad mener du om ham?
